"IR1-1"	1	64	"F"
"IR1-2"	65	127	"F"
"IR1-3"	128	189	"F"
"thrL"	190	255	"F"
"IR2"	256	335	"F"
"thrA-1"	336	1157	"F"
"thrA-2"	1158	1978	"F"
"thrA-3"	1979	2798	"F"
"IR3"	2799	2799	"F"
"thrB-1"	2800	3111	"F"
"thrB-2"	3112	3422	"F"
"thrB-3"	3423	3732	"F"
"thrC-1"	3733	4162	"F"
"thrC-2"	4163	4591	"F"
"thrC-3"	4592	5019	"F"
"IR4-1"	5020	5091	"F"
"IR4-2"	5092	5161	"F"
"IR4-3"	5162	5231	"F"
"yaaX-1"	5232	5331	"F"
"yaaX-2"	5332	5430	"F"
"yaaX-3"	5431	5528	"F"
"IR5-1"	5529	5580	"F"
"IR5-2"	5581	5630	"F"
"IR5-3"	5631	5680	"F"
"yaaA-1"	5681	5940	"C"
"yaaA-2"	5941	6199	"C"
"yaaA-3"	6200	6457	"C"
"IR6"	6458	6526	"F"
"yaaJ-1"	6527	7004	"C"
"yaaJ-2"	7005	7481	"C"
"yaaJ-3"	7482	7957	"C"
"IR7-1"	7958	8051	"F"
"IR7-2"	8052	8143	"F"
"IR7-3"	8144	8235	"F"
"talB-1"	8236	8554	"F"
"talB-2"	8555	8872	"F"
"talB-3"	8873	9189	"F"
"IR8-1"	9190	9228	"F"
"IR8-2"	9229	9266	"F"
"IR8-3"	9267	9303	"F"
"mogA-1"	9304	9500	"F"
"mogA-2"	9501	9696	"F"
"mogA-3"	9697	9891	"F"
"IR9"	9892	9925	"F"
"yaaH-1"	9926	10115	"C"
"yaaH-2"	10116	10304	"C"
"yaaH-3"	10305	10492	"C"
"IR10-1"	10493	10542	"F"
"IR10-2"	10543	10592	"F"
"IR10-3"	10593	10640	"F"
"htpY-1"	10641	10879	"C"
"htpY-2"	10880	11117	"C"
"htpY-3"	11118	11354	"C"
"IR11"	11355	11379	"F"
"yaaI-1"	11380	11515	"C"
"yaaI-2"	11516	11650	"C"
"yaaI-3"	11651	11784	"C"
"IR12-1"	11785	11910	"F"
"IR12-2"	11911	12036	"F"
"IR12-3"	12037	12160	"F"
"dnaK-1"	12161	12800	"F"
"dnaK-2"	12801	13439	"F"
"dnaK-3"	13440	14077	"F"
"IR13"	14078	14165	"F"
"dnaJ-1"	14166	14543	"F"
"dnaJ-2"	14544	14920	"F"
"dnaJ-3"	14921	15296	"F"
"IR14-1"	15297	15346	"F"
"IR14-2"	15347	15394	"F"
"IR14-3"	15395	15442	"F"
"insL#1-1"	15443	15814	"F"
"insL#1-2"	15815	16185	"F"
"insL#1-3"	16186	16555	"F"
"ESCRE0017-1"	16530	16593	"F"
"ESCRE0017-2"	16594	16656	"F"
"ESCRE0017-3"	16657	16718	"F"
"IR15"	16719	16748	"C"
"hokC-1"	16749	16800	"C"
"hokC-2"	16801	16851	"C"
"hokC-3"	16852	16901	"C"
"mokC-1"	16749	16819	"C"
"mokC-2"	16820	16889	"C"
"mokC-3"	16890	16958	"C"
"IR16-1"	16959	17135	"F"
"IR16-2"	17136	17312	"F"
"IR16-3"	17313	17487	"F"
"nhaA-1"	17488	17877	"F"
"nhaA-2"	17878	18266	"F"
"nhaA-3"	18267	18654	"F"
"IR17"	18655	18713	"F"
"nhaR-1"	18714	19016	"F"
"nhaR-2"	19017	19318	"F"
"nhaR-3"	19319	19619	"F"
"IR18"	19620	19657	"F"
"ECB_00020-1"	19658	19978	"C"
"ECB_00020-2"	19979	20298	"C"
"ECB_00020-3"	20299	20617	"C"
"IR19"	20618	20629	"F"
"ECB_00021-1"	20630	21012	"C"
"ECB_00021-2"	21013	21394	"C"
"ECB_00021-3"	21395	21775	"C"
"IR20-1"	21776	21920	"F"
"IR20-2"	21921	22064	"F"
"IR20-3"	22065	22207	"F"
"ECB_00022-1"	22208	22443	"C"
"ECB_00022-2"	22444	22678	"C"
"ECB_00022-3"	22679	22912	"C"
"IR21-1"	22913	23057	"F"
"IR21-2"	23058	23202	"F"
"IR21-3"	23203	23345	"F"
"insA#1-1"	23346	23438	"F"
"insA#1-2"	23439	23530	"F"
"insA#1-3"	23531	23621	"F"
"insB#1-1"	23540	23708	"F"
"insB#1-2"	23709	23876	"F"
"insB#1-3"	23877	24043	"F"
"IR22"	24044	24053	"C"
"ECB_00025-1"	24054	24171	"C"
"ECB_00025-2"	24172	24288	"C"
"ECB_00025-3"	24289	24404	"C"
"IR23-1"	24405	24566	"F"
"IR23-2"	24567	24726	"F"
"IR23-3"	24727	24886	"F"
"rpsT-1"	24887	24975	"C"
"rpsT-2"	24976	25063	"C"
"rpsT-3"	25064	25150	"C"
"IR24-1"	25151	25185	"F"
"IR24-2"	25186	25219	"F"
"IR24-3"	25220	25252	"F"
"yaaY-1"	25253	25326	"F"
"yaaY-2"	25327	25399	"F"
"yaaY-3"	25400	25471	"F"
"IR25"	25472	25478	"C"
"ribF-1"	25479	25793	"F"
"ribF-2"	25794	26107	"F"
"ribF-3"	26108	26420	"F"
"IR26"	26421	26462	"C"
"ileS-1"	26463	27402	"F"
"ileS-2"	27403	28341	"F"
"ileS-3"	28342	29279	"F"
"lspA-1"	29279	29444	"F"
"lspA-2"	29445	29609	"F"
"lspA-3"	29610	29773	"F"
"IR27-1"	29774	29815	"F"
"IR27-2"	29816	29857	"F"
"IR27-3"	29858	29897	"F"
"fkpB-1"	29898	30048	"F"
"fkpB-2"	30049	30198	"F"
"fkpB-3"	30199	30347	"F"
"IR28"	30348	30348	"C"
"ispH-1"	30349	30666	"F"
"ispH-2"	30667	30983	"F"
"ispH-3"	30984	31299	"F"
"IR29"	31300	31364	"F"
"rihC-1"	31365	31670	"F"
"rihC-2"	31671	31975	"F"
"rihC-3"	31976	32279	"F"
"IR30-1"	32280	32335	"F"
"IR30-2"	32336	32391	"F"
"IR30-3"	32392	32445	"F"
"dapB-1"	32446	32720	"F"
"dapB-2"	32721	32994	"F"
"dapB-3"	32995	33267	"F"
"IR31"	33268	33308	"F"
"ESCRE0036-1"	33309	33365	"C"
"ESCRE0036-2"	33366	33421	"C"
"ESCRE0036-3"	33422	33476	"C"
"IR32-1"	33477	33559	"F"
"IR32-2"	33560	33640	"F"
"IR32-3"	33641	33721	"F"
"carA-1"	33722	34105	"F"
"carA-2"	34106	34488	"F"
"carA-3"	34489	34870	"F"
"IR33"	34871	34887	"F"
"carB-1"	34888	35962	"F"
"carB-2"	35963	37036	"F"
"carB-3"	37037	38109	"F"
"IR34"	38110	38156	"F"
"ESCRE0039-1"	38157	38217	"C"
"ESCRE0039-2"	38218	38277	"C"
"ESCRE0039-3"	38278	38336	"C"
"IR35"	38337	38370	"F"
"caiF-1"	38371	38503	"F"
"caiF-2"	38504	38635	"F"
"caiF-3"	38636	38766	"F"
"IR36-1"	38767	38836	"F"
"IR36-2"	38837	38906	"F"
"IR36-3"	38907	38974	"F"
"caiE-1"	38975	39172	"C"
"caiE-2"	39173	39369	"C"
"caiE-3"	39370	39565	"C"
"IR37"	39566	39570	"C"
"caiD-1"	39571	39869	"C"
"caiD-2"	39870	40167	"C"
"caiD-3"	40168	40464	"C"
"caiC-1"	40465	40988	"C"
"caiC-2"	40989	41511	"C"
"caiC-3"	41512	42033	"C"
"IR38"	42034	42091	"F"
"caiB#1-1"	42092	42387	"C"
"caiB#1-2"	42388	42682	"C"
"caiB#1-3"	42683	42976	"C"
"caiB#2-1"	42889	43029	"C"
"caiB#2-2"	43030	43169	"C"
"caiB#2-3"	43170	43308	"C"
"IR39-1"	43309	43352	"F"
"IR39-2"	43353	43394	"F"
"IR39-3"	43395	43436	"F"
"caiA-1"	43437	43818	"C"
"caiA-2"	43819	44199	"C"
"caiA-3"	44200	44579	"C"
"IR40"	44580	44609	"F"
"caiT-1"	44610	45115	"C"
"caiT-2"	45116	45620	"C"
"caiT-3"	45621	46124	"C"
"IR41-1"	46125	46283	"F"
"IR41-2"	46284	46440	"F"
"IR41-3"	46441	46597	"F"
"fixA-1"	46598	46855	"F"
"fixA-2"	46856	47112	"F"
"fixA-3"	47113	47368	"F"
"IR42"	47369	47382	"F"
"fixB-1"	47383	47697	"F"
"fixB-2"	47698	48011	"F"
"fixB-3"	48012	48324	"F"
"IR43"	48325	48374	"F"
"fixC-1"	48375	48804	"F"
"fixC-2"	48805	49233	"F"
"fixC-3"	49234	49661	"F"
"fixX-1"	49658	49754	"F"
"fixX-2"	49755	49850	"F"
"fixX-3"	49851	49945	"F"
"IR44"	49946	50001	"F"
"yaaU-1"	50002	50446	"F"
"yaaU-2"	50447	50890	"F"
"yaaU-3"	50891	51333	"F"
"IR45-1"	51334	51370	"F"
"IR45-2"	51371	51405	"F"
"IR45-3"	51406	51440	"F"
"kefF-1"	51441	51618	"F"
"kefF-2"	51619	51795	"F"
"kefF-3"	51796	51971	"F"
"kefC-1"	51964	52585	"F"
"kefC-2"	52586	53206	"F"
"kefC-3"	53207	53826	"F"
"IR46-1"	53827	53891	"F"
"IR46-2"	53892	53954	"F"
"IR46-3"	53955	54017	"F"
"folA-1"	54018	54178	"F"
"folA-2"	54179	54338	"F"
"folA-3"	54339	54497	"F"
