"IR1-1"	1	39	"F"
"IR1-2"	40	77	"F"
"IR1-3"	78	114	"F"
"IR1-4"	115	152	"F"
"IR1-5"	153	189	"F"
"thrL"	190	255	"F"
"IR2"	256	335	"F"
"thrA-1"	336	829	"F"
"thrA-2"	830	1321	"F"
"thrA-3"	1322	1814	"F"
"thrA-4"	1815	2306	"F"
"thrA-5"	2307	2798	"F"
"IR3"	2799	2799	"F"
"thrB-1"	2800	2987	"F"
"thrB-2"	2988	3173	"F"
"thrB-3"	3174	3360	"F"
"thrB-4"	3361	3546	"F"
"thrB-5"	3547	3732	"F"
"thrC-1"	3733	3990	"F"
"thrC-2"	3991	4248	"F"
"thrC-3"	4249	4505	"F"
"thrC-4"	4506	4763	"F"
"thrC-5"	4764	5019	"F"
"IR4-1"	5020	5062	"F"
"IR4-2"	5063	5105	"F"
"IR4-3"	5106	5147	"F"
"IR4-4"	5148	5190	"F"
"IR4-5"	5191	5231	"F"
"yaaX-1"	5232	5291	"F"
"yaaX-2"	5292	5351	"F"
"yaaX-3"	5352	5410	"F"
"yaaX-4"	5411	5470	"F"
"yaaX-5"	5471	5528	"F"
"IR5-1"	5529	5559	"F"
"IR5-2"	5560	5590	"F"
"IR5-3"	5591	5620	"F"
"IR5-4"	5621	5651	"F"
"IR5-5"	5652	5680	"F"
"yaaA-1"	5681	5836	"C"
"yaaA-2"	5837	5992	"C"
"yaaA-3"	5993	6147	"C"
"yaaA-4"	6148	6303	"C"
"yaaA-5"	6304	6457	"C"
"IR6"	6458	6526	"F"
"yaaJ-1"	6527	6813	"C"
"yaaJ-2"	6814	7099	"C"
"yaaJ-3"	7100	7386	"C"
"yaaJ-4"	7387	7672	"C"
"yaaJ-5"	7673	7957	"C"
"IR7-1"	7958	8014	"F"
"IR7-2"	8015	8069	"F"
"IR7-3"	8070	8125	"F"
"IR7-4"	8126	8180	"F"
"IR7-5"	8181	8235	"F"
"talB-1"	8236	8427	"F"
"talB-2"	8428	8618	"F"
"talB-3"	8619	8808	"F"
"talB-4"	8809	8999	"F"
"talB-5"	9000	9189	"F"
"IR8-1"	9190	9213	"F"
"IR8-2"	9214	9236	"F"
"IR8-3"	9237	9258	"F"
"IR8-4"	9259	9281	"F"
"IR8-5"	9282	9303	"F"
"mogA-1"	9304	9422	"F"
"mogA-2"	9423	9539	"F"
"mogA-3"	9540	9657	"F"
"mogA-4"	9658	9774	"F"
"mogA-5"	9775	9891	"F"
"IR9"	9892	9925	"F"
"yaaH-1"	9926	10039	"C"
