"ORF"	"alle"	"site"	"abn"	"t1"	"t2"	"t3"	"t4"	"t5"	"tot"	"pos"	"strand"	"fitted"	"fitted1"	"fitted2"	"sterr"	"sterr1"	"sterr2"	"pval"	"pval1"	"pval2"	"rmse"	"rmse1"	"rmse2"
"3"	"thrA"	"thrA-1"	645	4	17	0	0	0	0	17	0.125507717303006	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5"	"thrA"	"thrA-2"	1550	2	14	0	0	0	0	14	0.493095044679123	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"7"	"thrA"	"thrA-3"	2027	12	69	0	0	0	0	69	0.686839967506093	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"9"	"thrB"	"thrB-1"	2905	2	20	0	0	0	0	20	0.112660944206009	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	"thrC"	"thrC-1"	3912	2	12	0	0	0	0	12	0.139191290824261	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"13"	"thrC"	"thrC-2"	4177	4	31	5	5	4	3	48	0.345256609642302	"F"	-0.0365454511610079	-0.0655443812890412	-0.0737955287398465	0.0225367947917573	0.0236435078409979	0.0229247280825589	0.203341066318135	0.0694412311196518	0.048619958322645	334.140973117983	4774.3617941573	11037.817475725
"15"	"thrC"	"thrC-3"	4760	3	5	10	10	2	0	27	0.798600311041991	"F"	-0.0307701549513689	-0.0160481854295171	-0.00172340184918039	0.0191769521602904	0.0209193820725955	0.0166449381365691	0.249801436772217	0.523182570391479	0.926982235393443	16773.6700795353	3707.93096887185	1589.3805142514
"17"	"IR4"	"IR4-3"	5231	1	5	4	6	3	4	22	1	"F"	-0.0090394574208954	-0.0124813925507919	-0.0148182922876336	0.00843472664133678	0.00804460122851591	0.00718147165344694	0.362405815250456	0.218573934446552	0.131067284918728	59.6489804802201	69.913219634371	199.588607624847
"19"	"yaaX"	"yaaX-1"	5233	2	2	3	4	5	5	19	0.00337837837837838	"F"	0.0121926296336665	0.0116891722978536	0.010571665171163	0.00683887193429436	0.00767830834720148	0.00880217768075731	0.172624285579755	0.225284045403508	0.315917180016529	12563.8496402176	5198.62754403669	125.446476470557
"21"	"yaaX"	"yaaX-2"	5397	4	23	24	27	15	23	112	0.557432432432432	"F"	-0.00709965930921991	-0.00898538443621661	-0.0105686509000996	0.00590809761868434	0.00589690653039224	0.00568610775704338	0.31569787401888	0.224960843024561	0.160039514203384	127.122835174863	2639.15713375843	3287.85214430064
"23"	"IR5"	"IR5-2"	5614	1	0	6	5	5	7	23	0.562913907284768	"F"	0.00686846495032682	0.00674627233997398	0.00655219869622568	0.00323913769600434	0.00321702482556738	0.00322275832086639	0.168053468519712	0.170913546819934	0.179072318589369	3.63908506810208	14.7737175492369	127.99880213715
"25"	"yaaA"	"yaaA-1"	5803	2	0	3	8	3	7	21	0.157216494845361	"C"	0.0140825198455068	0.007171712121763	0.000754381015645463	0.0151311554216168	0.015609715241108	0.0133059653917046	0.45026260687244	0.691023658336447	0.959942794045459	44.4889458245449	213.561593749117	64.581983524078
"27"	"yaaA"	"yaaA-2"	6089	5	24	51	40	30	36	181	0.525773195876289	"C"	-0.00323092277220121	-0.00317847108364415	-0.00312392459043836	0.00146411534070348	0.0015157283302228	0.00156764109883068	0.114449153502226	0.12692818711748	0.140308249373687	1078.07077991542	477.890691370424	240.586542986048
"29"	"yaaA"	"yaaA-3"	6393	2	6	12	9	0	0	38	0.917525773195876	"C"	-0.00638168257722272	-0.0062983466317441	-0.00619976641446228	0.00416371418266621	0.00433763964510652	0.00451994214335562	0.368026074781552	0.383944322900925	0.401043714288709	23.4000000000001	19.2019906987296	15.7286414893563
"31"	"IR6"	"IR6"	6518	2	0	1	3	6	4	14	0.882352941176471	"F"	0.0321883638472364	0.0153816732620079	-0.00251553152040699	0.0240807970392423	0.0306316272314912	0.0318397916841088	0.313095210648486	0.665393474428362	0.944221363451837	104.814026723077	55.0826322522169	187.505274008244
