"R"	"M"	"K"	"name"	"site"	"abn"	"block"	"bvalue"
"1"	0.0152092647319343	0.00673668639077516	-0.0205696618144217	"moaB"	810862	5	1	0.0570548406973402
"2"	0.0710033660191422	0.033991972411736	-0.0114779306313303	"moaC"	811197	5	1	0.0570548406973402
"3"	0.0555055700463471	0.0211912044116972	-0.0253404352852398	"J"	899134	4	2	0.04698061412371
"4"	0.0214057463557988	NA	-0.00731137593804845	"I"	900068	11	2	0.04698061412371
"5"	0.0161412509758725	-0.00281788915564489	NA	"ydiN"	1749828	10	123	0.0458410923454627
"6"	0.0401380405594561	-0.00674222772866319	0.022431459782423	"ydiB"	1751754	5	123	0.0458410923454627
"7"	0.0629502477034825	-0.0088454390039933	-0.0020210674260037	"ydiF"	1753928	6	123	0.0458410923454627
"8"	0.0205331270636799	-0.0169860859151824	0.0102247729420536	"ydiO"	1754477	10	123	0.0458410923454627
"9"	0.0391689237641615	-0.0196638963388006	0.0216160530182752	"yddA"	1551609	17	4	0.0443137063777824
"10"	0.046028633915656	-0.00399354778102062	NA	"ydeM"	1553618	10	4	0.0443137063777824
"11"	0.0514988812308492	-0.00328173614594668	-0.0167002502054649	"yghD"	3029523	7	5	0.0427096420883229
"12"	0.0163419246607439	-0.00779433170807069	0.00181225974493743	"ECB_02831"	3031553	13	5	0.0427096420883229
"13"	0.0483314739474633	-0.0196749759681368	-0.0109974218091192	"yaeH"	186842	7	6	0.040052560745351
"14"	0.0152158211390141	-0.00183624051644187	-0.0104398047380638	"yaeI"	187411	15	6	0.040052560745351
"15"	0.0347661140249367	-0.0437257414719814	0.00269354172443062	"cobU"	2003260	5	7	0.0373588296595064
"16"	0.0220173137182524	-0.00827011743957161	-0.022736108996178	"yeaB"	1874755	7	8	0.0368218067413156
"17"	0.0516262997643789	0.0156456626045799	-0.025251131027395	"IR1532"	1875403	6	8	0.0368218067413156
"18"	0.0181788558503923	0.00548668440756614	0.00247428526295522	"sdaA"	1875521	24	8	0.0368218067413156
"19"	0.0417802325486535	-0.00223932025466461	0.00313611457721333	"IR3698"	4600502	7	154	0.0361631744444858
"20"	0.0193120001319826	-0.0159532201978318	-0.00957442112021528	"osmY"	4600635	11	154	0.0361631744444858
"21"	0.0356000176958473	0.0133497498798721	-0.0283915395904782	"yeaE"	1842021	11	10	0.0359020334691237
"22"	0.0360027053935492	0.0139086969339146	-0.000735772847728133	"mipA"	1842965	18	10	0.0359020334691237
"23"	0.0324291047257069	-0.0381590631804778	0.00227684236290035	"ECB_01903"	2005440	8	11	0.0358903632721381
"24"	0.0231612499187656	0.0124216895541343	-0.00334388118433032	"insC"	2006807	7	11	0.0358903632721381
"25"	0.0352904164033329	-0.0351202722764965	0.0185708412357932	"ECB_01906"	2007917	4	11	0.0358903632721381
"26"	0.0376902038785538	-0.0413144490862129	-0.0202006007876135	"IR1649"	2008824	10	11	0.0358903632721381
"27"	0.0216527230162212	0.0149877480613181	-0.0300038927501995	"yaiI"	373634	5	12	0.0358430108445819
"28"	0.0282942075118965	-0.0443042161810872	0.00496076302101318	"yaiA"	374643	6	12	0.0358430108445819
"29"	0.0433918141772672	-0.0241820720338313	-0.0101517847823894	"IR293"	375784	7	12	0.0358430108445819
"30"	0.0300012248656835	0.0377006755702705	-0.0149310504099429	"yfeU"	2474601	10	13	0.0354262188209941
"31"	0.0160162567104274	0.00647602924137915	-0.00857809653845577	"murP"	2475897	21	13	0.0354262188209941
"32"	0.0354262188209941	-0.0120432826247538	-0.017620522125718	"IR1987"	2476939	7	13	0.0354262188209941
"33"	0.0414562514118713	-0.00118682156573113	-0.0105709002345532	"yfeY"	2478017	12	13	0.0354262188209941
"34"	0.0331160293793786	-0.0301732941524286	-0.00954456231555685	"yfeZ"	2478973	8	13	0.0354262188209941
"35"	0.0400348203510535	-0.00355590060830357	0.00189019109266453	"ESCRE1404"	1406605	5	14	0.0348387038833919
"36"	0.019250354480407	-0.000376953651125044	0.00582927125722134	"dbpA"	1406695	17	14	0.0348387038833919
"37"	0.0335831982831427	NA	-0.0054285053256654	"ESCRE4162"	4170092	7	15	0.0343715811959075
"38"	0.0346343755001624	-0.000438306967896523	-0.00302866523883546	"thiC"	4175710	3	15	0.0343715811959075
"39"	0.0329298166525893	-0.00761587054174401	-0.0144826972034805	"ydbJ"	1432888	6	16	0.032992907844612
"40"	0.0184537524673069	-0.00688204654252741	-0.0135149674055955	"hyfF"	2527749	29	17	0.0329856417692372
"41"	0.0384344808266367	0.0559143313978557	-0.0300776281706125	"hyfH"	2531013	6	17	0.0329856417692372
"42"	0.0275368027118378	-0.00292903289843638	0.00260018921948975	"focB"	2535065	12	17	0.0329856417692372
"43"	0.0366820734957486	-0.0185296708315448	0.000842766955999583	"yaaU"	50455	16	153	0.0325371031536785
"44"	0.0201021921274683	0.0328031357298018	0.00169365523528291	"kefF"	51823	9	153	0.0325371031536785
"45"	0.0222785577329383	-0.0101678120683562	0.00134331467398253	"ddpF"	1531697	16	19	0.0319993246094103
"46"	0.035239580234901	-0.0295161401659187	0.0169181435332007	"ddpB"	1534250	9	19	0.0319993246094103
"47"	0.0296631543112633	-0.00381038811660999	-0.0114453305008264	"cutC"	1937354	8	126	0.0311891622923298
"48"	0.0284274076329872	-0.0142219457750022	-0.0151692374315533	"ynhG"	1735669	17	127	0.0310130581614072
"49"	0.0167186649893025	-0.00199225185751451	-0.005590220674143	"sufS"	1736995	16	127	0.0310130581614072
"50"	0.0335987086898272	-0.053732351603107	-0.00158831395257295	"sufC"	1739284	7	127	0.0310130581614072
"51"	0.0211696490890361	0.0214494392266785	-0.0160823825575227	"ygdH"	2816151	25	22	0.0308939623446358
"52"	0.0313271633336426	-0.023365863932269	-0.0287108630338458	"IR2249"	2817002	15	22	0.0308939623446358
"53"	0.0243690902267238	-0.0113680637459054	-0.00458781739859979	"sdaB"	2818987	10	22	0.0308939623446358
"54"	0.0262773801842745	-0.00524720465403543	0.0162463618371697	"exo"	2820179	14	22	0.0308939623446358
"55"	0.019974820983811	0.00888554889903037	-0.00267956632418609	"menE"	2320785	16	23	0.0302096774553146
"56"	0.0283683413003005	-0.0149020793891164	0.0043260498732126	"elaB"	2327353	8	23	0.0302096774553146
"57"	0.0320510136103286	-0.0227186101274336	-0.0145406328985922	"elaA"	2327908	7	23	0.0302096774553146
"58"	0.0302041670066911	-0.00152211375899217	-0.000575937457951123	"hofQ"	3449340	5	24	0.0301866551990147
"59"	0.0301341197759857	0.00459404169422361	-0.00277838493479532	"yrfA"	3449570	11	24	0.0301866551990147
"60"	0.0314283750699304	0.00672974158166496	0.00363992493700572	"mtr"	3239808	12	25	0.0301718801245398
"61"	0.0264023952883681	-0.0539412748329107	NA	"IR2599"	3241075	8	25	0.0301718801245398
"62"	0.0346644146355052	0.0223534052015054	-0.0688617839827088	"IR1569"	1915121	6	26	0.0300800176581771
"63"	0.0163268267261927	-0.0141867383874976	0.0375632795727122	"yebK"	1915335	11	26	0.0300800176581771
"64"	0.0319479801208966	-0.021260250144964	-0.0166677330399779	"zraP"	4180876	9	27	0.0300795683301479
"65"	0.0244743329579018	0.00718490018659758	7.92008223417689e-05	"zraR"	4183801	17	27	0.0300795683301479
"66"	0.0311961819108733	-0.00632670641186379	-0.0198263740771681	"rtn"	2222975	19	28	0.0296815264229186
